Reviewer,Content,Date,Stars,Local Guide,Likes
Nghi Cao,Phục vụ khách hàng chu đáo và đào tạo đại lý chuyên nghiệp,5 năm trước,4 sao,Local Guide · 87 bài đánh giá · 52 ảnh,0
Nhã Nhi Trần,"Chuyên nghiệp, có ích cho khách hàng khi tham gia bảo hiểm",5 năm trước,5 sao,1 bài đánh giá,0
Khánh Võ,"Không gian hiện đại năng động, nhân viên nhiệt huyết.",4 năm trước,5 sao,Local Guide · 86 bài đánh giá · 4.622 ảnh,0
Hòa Thái Huy,Tạm ổn,7 tháng trước,4 sao,Local Guide · 59 bài đánh giá · 165 ảnh,0
Hằng Dương,"Bảo Hiểm Manulife làm việc rất nhiệt tình,chu đáo,đúng nguyên tắc",4 năm trước,5 sao,3 bài đánh giá · 37 ảnh,0
Tùng Péss,"dich vu chuyen nghiep, phuc vu tan tinh va chu dao.",4 năm trước,5 sao,2 bài đánh giá · 8 ảnh,0
LiliJuli Dang,Van phong dep va rong rai. Vote cho Bao Hiem Manulife,4 năm trước,5 sao,1 bài đánh giá · 1 ảnh,0
Trâm Anh Huỳnh Lê Ngọc,"Văn phòng mới, làm việc rất ok",5 năm trước,5 sao,Local Guide · 69 bài đánh giá · 26 ảnh,2
Tin Trung,"Văn phòng đẹp, nhân viên thân thiện, chuyên nghiệp",4 năm trước,5 sao,Local Guide · 123 bài đánh giá · 539 ảnh,0
Van QuangNgo,"Khung canh, mau sac nhe nhang, nhan vien tan tinh",4 năm trước,4 sao,29 bài đánh giá,1
anh nguyen,Một nơi làm việc chuyên nghiệp,2 năm trước,5 sao,Local Guide · 17 bài đánh giá · 51 ảnh,0
Quyen Chau Hau,"Nhân viên nhiệt tình, văn phonhf đẹp",5 năm trước,5 sao,Local Guide · 147 bài đánh giá · 36 ảnh,0
Đoàn Phạm Hoàng Trung,"Văn phòng hiện đại, chuẩn mực.",3 năm trước,5 sao,Local Guide · 157 bài đánh giá · 348 ảnh,0
KimLong Black,Uy tín. Bị là đền,6 năm trước,5 sao,Local Guide · 14 bài đánh giá · 26 ảnh,1
Nguyen Hieu Nghia,dichvu nhanh chong va tien loi,4 năm trước,5 sao,Local Guide · 3 bài đánh giá · 47 ảnh,0
Tuyen Phan,"dich vu tot, phuc vu chuyen nghiep",4 năm trước,5 sao,6 bài đánh giá · 3 ảnh,1
Nguyen Duong,"Dv tốt, nv vui vẻ nhiệt tình",6 năm trước,5 sao,Local Guide · 125 bài đánh giá · 367 ảnh,0
Phạm Minh Toàn,"Văn phòng đẹp, giảng viên hay.",6 năm trước,5 sao,Local Guide · 42 bài đánh giá · 774 ảnh,0
ho nguyen,nhiệt tình... giải quyết nhanh,4 năm trước,4 sao,Local Guide · 192 bài đánh giá · 571 ảnh,0
Phụng Lê,Nơi làm việc tốt nhất!,5 năm trước,5 sao,Local Guide · 48 bài đánh giá · 33 ảnh,0
Tùng Gà,Công ty tài chính chuyên nghiêp,6 năm trước,5 sao,68 bài đánh giá · 95 ảnh,0
Lê Tấn Thạnh,"Ngay trung tâm, sạch sẽ, hiện đại",4 năm trước,4 sao,Local Guide · 68 bài đánh giá · 55 ảnh,0
Hoang Anh,số 1 VN,3 năm trước,5 sao,6 bài đánh giá,1
Thuy Nguyen,Nơi làm việc tuyệt vời,5 năm trước,5 sao,Local Guide · 48 bài đánh giá · 71 ảnh,0
Bongchuyen PT,Đi đóng bh. Tốn tiền,4 năm trước,5 sao,Local Guide · 481 bài đánh giá · 2.647 ảnh,0
Tuoc Dang,Bao hiem tot nhat,5 năm trước,5 sao,Local Guide · 27 bài đánh giá · 139 ảnh,0
Công Nguyễn,Trải nghiệm tuyệt vời,4 năm trước,5 sao,5 bài đánh giá · 8 ảnh,0
Star Twinkle (bemapmat),Năng động,6 năm trước,4 sao,Local Guide · 174 bài đánh giá · 45 ảnh,0
tâm phạm,Toà nhà văn phòng,5 năm trước,5 sao,Local Guide · 126 bài đánh giá,0
Lê Duy Linh (Đầu Bếp Mê Ăn),Dịch vụ ưu việt,5 năm trước,5 sao,Local Guide · 118 bài đánh giá · 897 ảnh,0
Tong Dang,Tốt cho bạn,5 năm trước,5 sao,Local Guide · 61 bài đánh giá,0
Văn Hạo Ngô,Nên mua bảo hiểm,5 năm trước,5 sao,Local Guide · 37 bài đánh giá · 4 ảnh,0
Đá thiên nhien Phong Thủy,Rất chuyên nghiệp,5 năm trước,5 sao,Local Guide · 107 bài đánh giá · 75 ảnh,0
BA SON NGUYEN,Thú vị,5 năm trước,5 sao,Local Guide · 65 bài đánh giá · 384 ảnh,0
Đại Trần,Đẹp đẹp,7 năm trước,5 sao,Local Guide · 193 bài đánh giá · 1.077 ảnh,0
Huyen Pham,"Chuyên nghiệp, thân thiện",5 năm trước,5 sao,Local Guide · 31 bài đánh giá · 1 ảnh,0
"KHAI MINH CO., LTD",Chậm,2 năm trước,4 sao,Local Guide · 68 bài đánh giá · 16 ảnh,0
Khuê Phạm,Nhanh,4 năm trước,5 sao,Local Guide · 59 bài đánh giá · 8 ảnh,0
Sinh Tong,Manulife viet nam,6 năm trước,5 sao,Local Guide · 48 bài đánh giá · 82 ảnh,0
Tung Nguyen,Đẹp,6 năm trước,5 sao,Local Guide · 131 bài đánh giá · 215 ảnh,0
AnhThu HoNgoc,NGÀY 23 THÁNG 3 NĂM 2024. CÔNG TY BẢO HIỂM TỐT NHẤT TẠI VIệT NAM. TRẢ TIỀN CHO NGƯỜI NGAY BÂY GIỜ!!!!! ( MANULIFE & SCB) …,7 tháng trước,1 sao,2 bài đánh giá · 5 ảnh,1
khan genghis,Nơi tốt để đầu tư và bảo hiểm. Tôi khuyên bạn nên ghé thăm đó.,6 năm trước,5 sao,Local Guide · 138 bài đánh giá · 19 ảnh,0
Phùng Thị Thanh Tâm,N/A,5 năm trước,5 sao,Local Guide · 136 bài đánh giá · 1.021 ảnh,0
Aden Nguyễn,Dịch vụ rất tốt,4 năm trước,4 sao,Local Guide · 32 bài đánh giá · 19 ảnh,0
Tâm Hoàng,Được rồi,5 năm trước,5 sao,Local Guide · 328 bài đánh giá · 464 ảnh,0
Ryan Khuu,Tốt,6 năm trước,5 sao,8 bài đánh giá · 10 ảnh,0
Vien Dzu Bui,Xuất sắc,4 năm trước,5 sao,Local Guide · 950 bài đánh giá · 1.864 ảnh,0
"Số Đẹp BxB - Kiếp Này Không Chơi, Kiếp Nào Chơi ???",Dân tộc ưu tú,4 năm trước,5 sao,Local Guide · 1.049 bài đánh giá · 3.609 ảnh,0
Minh Huong Tran,N/A,4 tuần trước,5 sao,1 bài đánh giá · 3 ảnh,0
Ha Lee,N/A,2 tháng trước,5 sao,N/A,0
Khuyên Trần Huỳnh,N/A,3 tháng trước,5 sao,4 ảnh,0
Nguyện Nguyễn Hữu,N/A,8 tháng trước,5 sao,N/A,0
Stephanie Rebaca,N/A,một năm trước,1 sao,Local Guide · 60 bài đánh giá · 3.509 ảnh,0
Thieu Nguyen Diec,N/A,một năm trước,5 sao,14 bài đánh giá · 1 ảnh,0
Điều Hùng,N/A,một năm trước,5 sao,Local Guide · 139 bài đánh giá · 158 ảnh,0
Thảo Nguyên Trần,N/A,một năm trước,1 sao,N/A,0
tiger pham,N/A,2 năm trước,5 sao,N/A,0
Lan Le,N/A,2 năm trước,5 sao,Local Guide · 10 bài đánh giá · 29 ảnh,0
Le Anh Tuan,N/A,2 năm trước,5 sao,Local Guide · 210 bài đánh giá · 840 ảnh,0
Hải Nguyễn,N/A,2 năm trước,5 sao,Local Guide · 36 bài đánh giá,0
Bình Đỗ,N/A,2 năm trước,5 sao,N/A,0
Viên Lê Xuân,N/A,3 năm trước,4 sao,5 bài đánh giá · 2.768 ảnh,0
Hữu Đạt Thắng Nguyễn,N/A,3 năm trước,5 sao,Local Guide · 56 bài đánh giá · 53 ảnh,0
Xuân Mỹ (Bonnie),N/A,3 năm trước,5 sao,Local Guide · 1 bài đánh giá · 12 ảnh,0
Thuy Linda Pham,N/A,3 năm trước,5 sao,Local Guide · 72 bài đánh giá · 878 ảnh,0
Thi Nguyễn,N/A,3 năm trước,4 sao,Local Guide · 50 bài đánh giá · 317 ảnh,0
Soi2 Silom by Kelvin,N/A,3 năm trước,5 sao,Local Guide · 20 bài đánh giá · 29 ảnh,0
Du Ngo,N/A,3 năm trước,4 sao,2 ảnh,0
Hoàng Hà Nguyễn,N/A,3 năm trước,5 sao,1 bài đánh giá,0
Gia Hao Truong,N/A,3 năm trước,5 sao,2 bài đánh giá · 2 ảnh,0
Gialong Nguyen,N/A,4 năm trước,5 sao,2 bài đánh giá,0
Lap Phan,N/A,4 năm trước,5 sao,Local Guide · 11 bài đánh giá · 48 ảnh,0
Minh trưc Ngo,N/A,4 năm trước,4 sao,1 bài đánh giá,0
THEWoZ No1,N/A,4 năm trước,5 sao,N/A,0
Anthea Nguyễn,N/A,4 năm trước,5 sao,3 bài đánh giá · 3 ảnh,0
Pham Long “Leo”,N/A,4 năm trước,3 sao,Local Guide · 34 bài đánh giá · 2.770 ảnh,0
taan.,N/A,4 năm trước,5 sao,Local Guide · 11 bài đánh giá · 20 ảnh,0
Tien Phong Lam,N/A,4 năm trước,5 sao,Local Guide · 46 bài đánh giá · 80 ảnh,0
Nghĩa NT,N/A,4 năm trước,5 sao,13 bài đánh giá · 5 ảnh,0
Lệ Phan,N/A,4 năm trước,5 sao,4 bài đánh giá · 2 ảnh,0
Ngọc Việt Tạ,N/A,4 năm trước,5 sao,5 bài đánh giá · 3 ảnh,0
thanh dao,N/A,4 năm trước,5 sao,1 bài đánh giá,0
CHƯƠNG LÊ DƯƠNG ĐÌNH,N/A,4 năm trước,5 sao,Local Guide · 72 bài đánh giá · 689 ảnh,0
Chung Nguyễn Văn,N/A,4 năm trước,5 sao,N/A,0
Hữu Phát Trần,N/A,4 năm trước,5 sao,Local Guide · 47 bài đánh giá · 88 ảnh,0
Ngoc Diep Pham,N/A,4 năm trước,5 sao,Local Guide · 17 bài đánh giá · 19 ảnh,0
Longvan Hoang,N/A,4 năm trước,5 sao,21 bài đánh giá · 463 ảnh,0
Tien Trinh,N/A,4 năm trước,5 sao,N/A,0
Tan H. Luu,N/A,4 năm trước,5 sao,2 bài đánh giá · 1 ảnh,0
thomas pham,N/A,4 năm trước,5 sao,4 bài đánh giá · 3 ảnh,0
QuocMinh Vo,N/A,4 năm trước,5 sao,1 bài đánh giá,0
Châu Phạm,N/A,4 năm trước,5 sao,Local Guide · 6 bài đánh giá · 1 ảnh,0
Vĩ Thành Trần,N/A,5 năm trước,5 sao,Local Guide · 11 bài đánh giá · 6 ảnh,0
THANH VINFAST MIỀN NAM,N/A,5 năm trước,5 sao,20 bài đánh giá,0
Ken Henry,N/A,5 năm trước,5 sao,Local Guide · 31 bài đánh giá,0
Kelly To’Life,N/A,5 năm trước,5 sao,Local Guide · 36 bài đánh giá · 189 ảnh,0
Black Minh,N/A,5 năm trước,4 sao,Local Guide · 7 bài đánh giá · 26 ảnh,0
D Howie “Bong”,N/A,5 năm trước,5 sao,Local Guide · 2 bài đánh giá · 6 ảnh,0
Phước Huỳnh,N/A,5 năm trước,5 sao,Local Guide · 102 bài đánh giá · 72 ảnh,0
Cậu Ba,N/A,5 năm trước,5 sao,Local Guide · 197 bài đánh giá · 8.972 ảnh,0
N P,N/A,5 năm trước,5 sao,Local Guide · 62 bài đánh giá · 92 ảnh,0
Huong Truong,N/A,5 năm trước,5 sao,3 bài đánh giá · 3 ảnh,0
Hởi Trần Thị,ĐƯỢC RỒI,5 năm trước,3 sao,3 bài đánh giá · 8 ảnh,0
Dương Vũ,N/A,5 năm trước,5 sao,Local Guide · 49 bài đánh giá · 106 ảnh,0
kim tran,N/A,5 năm trước,5 sao,Local Guide · 2 bài đánh giá,0
AUSTIN. TANG.8.22,N/A,5 năm trước,5 sao,Local Guide · 21 bài đánh giá · 24 ảnh,0
Bap Ngo Ngo Bap,N/A,5 năm trước,2 sao,N/A,0
Dương Nguyễn,N/A,5 năm trước,5 sao,1 bài đánh giá,0
minhngoc huynh,N/A,5 năm trước,5 sao,Local Guide · 17 bài đánh giá · 8 ảnh,0
Thảo Lê Hoàng,N/A,5 năm trước,2 sao,1 ảnh,0
Giang Nguyen Tan truong,N/A,5 năm trước,3 sao,Local Guide · 9 bài đánh giá · 160 ảnh,0
Huy Cai023,N/A,5 năm trước,4 sao,Local Guide · 5 bài đánh giá,0
Dinh Huong Pham,N/A,5 năm trước,3 sao,Local Guide · 21 bài đánh giá · 1 ảnh,0
thuyduong pham,N/A,5 năm trước,5 sao,Local Guide · 86 bài đánh giá · 3.535 ảnh,0
HỬU NHÂN LÊ,N/A,5 năm trước,5 sao,Local Guide · 4 bài đánh giá · 82 ảnh,0
Thương Nguyễn,N/A,5 năm trước,5 sao,Local Guide · 21 bài đánh giá · 10 ảnh,0
Ha Tran Thi An,N/A,6 năm trước,5 sao,Local Guide · 4 bài đánh giá · 178 ảnh,0
Trung Hiếu Trần,N/A,6 năm trước,4 sao,Local Guide · 8 bài đánh giá,0
Rih Rihksor,N/A,6 năm trước,3 sao,7 ảnh,0
Yui Phan,Được rồi,6 năm trước,5 sao,Local Guide · 94 bài đánh giá · 10 ảnh,0
Nẩu Hèm,N/A,6 năm trước,1 sao,Local Guide · 78 bài đánh giá · 19 ảnh,0
Hai Thaison,N/A,6 năm trước,5 sao,Local Guide · 23 bài đánh giá · 12 ảnh,0
Mantra Layla,N/A,6 năm trước,5 sao,2 bài đánh giá · 2 ảnh,0
Khanh Trần như,N/A,6 năm trước,5 sao,Local Guide · 21 bài đánh giá · 23 ảnh,0
Thang Chu,N/A,6 năm trước,5 sao,Local Guide · 50 bài đánh giá · 72 ảnh,0
tai le,N/A,6 năm trước,2 sao,N/A,0
Jade Co,N/A,6 năm trước,5 sao,N/A,0
